date,state,predicted_count,type
2026-01-31,West Bengal,88.0382,forecast
2026-02-28,West Bengal,83.2969,forecast
2026-03-31,West Bengal,85.84899,forecast
2026-04-30,West Bengal,78.32688,forecast
2026-05-31,West Bengal,73.18687,forecast
2026-06-30,West Bengal,74.78594,forecast
2026-07-31,West Bengal,81.472145,forecast
2026-08-31,West Bengal,78.30856,forecast
2026-09-30,West Bengal,78.27235,forecast
2026-10-31,West Bengal,80.189095,forecast
2026-11-30,West Bengal,78.63238,forecast
2026-12-31,West Bengal,76.798004,forecast
2027-01-31,West Bengal,76.33412,forecast
2027-02-28,West Bengal,78.45646,forecast
2027-03-31,West Bengal,82.74942,forecast
2027-04-30,West Bengal,79.84353,forecast
2027-05-31,West Bengal,73.92504,forecast
2027-06-30,West Bengal,74.41355,forecast
2027-07-31,West Bengal,80.12125,forecast
2027-08-31,West Bengal,77.93617,forecast
2027-09-30,West Bengal,78.27235,forecast
2027-10-31,West Bengal,80.70651,forecast
2027-11-30,West Bengal,78.63238,forecast
2027-12-31,West Bengal,76.798004,forecast
2028-01-31,West Bengal,76.33412,forecast
2028-02-29,West Bengal,78.45646,forecast
2028-03-31,West Bengal,82.74942,forecast
2028-04-30,West Bengal,79.84353,forecast
2028-05-31,West Bengal,73.92504,forecast
2028-06-30,West Bengal,74.41355,forecast
2028-07-31,West Bengal,80.12125,forecast
2028-08-31,West Bengal,77.93617,forecast
2028-09-30,West Bengal,78.27235,forecast
2028-10-31,West Bengal,80.70651,forecast
2028-11-30,West Bengal,78.63238,forecast
2028-12-31,West Bengal,76.798004,forecast
2029-01-31,West Bengal,76.33412,forecast
2029-02-28,West Bengal,78.45646,forecast
2029-03-31,West Bengal,82.74942,forecast
2029-04-30,West Bengal,79.84353,forecast
2029-05-31,West Bengal,73.92504,forecast
2029-06-30,West Bengal,74.41355,forecast
2029-07-31,West Bengal,80.12125,forecast
2029-08-31,West Bengal,77.93617,forecast
2029-09-30,West Bengal,78.27235,forecast
2029-10-31,West Bengal,80.70651,forecast
2029-11-30,West Bengal,78.63238,forecast
2029-12-31,West Bengal,76.798004,forecast
2030-01-31,West Bengal,76.33412,forecast
2030-02-28,West Bengal,78.45646,forecast
