date,forecast,lower_bound,upper_bound
2020-04-30,24417.455744811192,8684.968950169272,38999.69847644308
2020-05-31,18481.806965449643,4723.1136060602685,32259.110484617744
2020-06-30,24023.544478721386,9900.98889971344,38176.055795401444
2020-07-31,23500.916277785298,8587.987841271985,38262.38957201754
2020-08-31,24130.18182469616,10613.40050637694,38503.30986557531
2020-09-30,21752.841270780387,7222.517665372457,36101.01824477095
2020-10-31,38472.22645130436,23301.235192589967,53087.26770198538
2020-11-30,43308.9861658884,28860.83596377694,57894.573067070785
2020-12-31,23591.584798725267,9999.912712930956,38580.912965204945
2021-01-31,28475.817949694574,15063.139594312179,44515.47912462361
2021-02-28,27753.91690950773,12905.999780837454,42432.130238402984
2021-03-31,27567.033521715126,13087.097370912052,42273.1198679008
2021-04-30,26756.556646221463,13088.269333390444,41048.53861403112
2021-05-31,20735.91784951539,6257.786954052479,34840.10436409927
2021-06-30,26265.05521981167,12312.469415821062,40544.72475000895
2021-07-31,25777.27439475262,11240.261629814873,39838.05798137759
2021-08-31,26412.267241925198,12655.493105201458,40633.82031136185
2021-09-30,23997.776850740425,9754.481265176048,38561.282783042705
2021-10-31,40558.66107312215,25745.75104894982,54473.69904523941
2021-11-30,45714.7614500493,32146.798125618265,60112.17851598865
2021-12-31,25931.269783147785,11430.087557148205,40022.42694180431
2022-01-31,30685.03342716117,17258.573850548655,45194.58184735659
2022-02-28,30071.60746487026,14970.140079539566,44394.82470534312
2022-03-31,29798.158132457684,16250.82924504506,44078.73420401709
2022-04-30,29094.979502619313,14069.196716210172,44173.016597577946
2022-05-31,22991.27035083691,8319.017328925984,37192.216122398706
2022-06-30,28505.72845522154,13777.086982274575,41560.859359372414
2022-07-31,28054.048694250778,12690.533967566807,43435.15165441792
2022-08-31,28693.701946704456,13978.021318707752,42052.761547778806
2022-09-30,26244.485677193552,12689.04191356091,40817.05928187594
2022-10-31,42644.22465324709,29134.026817495338,57727.12184123162
2022-11-30,48118.087759666334,33360.02988997298,62195.7791655584
2022-12-31,28273.547901083373,14573.320891966237,43135.41925360004
2023-01-31,32893.20650757855,16977.459630893318,47500.47653519947
2023-02-28,32389.42197753999,18228.346161941034,47056.45569747796
2023-03-31,32029.288774037548,17288.964581302273,45127.58903329839
2023-04-30,31432.69808045522,16697.632178671414,45313.21865597411
2023-05-31,25247.87193195001,10673.64679753547,39724.784588095456
2023-06-30,30745.565863634678,16416.531123390352,45280.4366253958
2023-07-31,30331.234330740306,15347.107633932696,43586.60202542769
2023-08-31,30974.487252518724,17031.263141244668,45475.45690127023
2023-09-30,28492.94801123773,14326.362191514914,44616.65502943036
2023-10-31,44728.97002133647,29769.364620201126,59336.3948649918
2023-11-30,50518.928367166125,36007.366686280984,64439.364024124545
2023-12-31,30618.419790372114,16995.26280278276,45344.37459822137
2024-01-31,35100.36577082638,21022.685538344973,50705.23360978062
2024-02-29,34518.591072700954,19855.932150191467,49428.07465593121
2024-03-31,34418.10167784043,19698.85280305885,48894.751193545424
2024-04-30,33499.66316642732,19240.10851492218,46917.242205600574
2024-05-31,27564.01360685488,13529.761081273775,41891.508494912516
2024-06-30,33105.750365083695,18484.330560459523,47973.54488921486
2024-07-31,32583.121383637706,17693.16460970329,47505.94767220071
2024-08-31,33212.38615003854,18823.205807932507,46874.58388394627
2024-09-30,30835.044840491995,17211.97440353757,45874.00914332885
2024-10-31,47554.42924019781,32981.63490216383,62652.74410030836
2024-11-30,52391.188198740674,38128.1598841052,66872.34810696484
2024-12-31,32673.786050333623,18108.75328312012,46528.28122915852
2025-01-31,37558.01842006043,22156.113077594513,51755.169234117624
2025-02-28,36836.11667421679,23755.044000368176,52045.81403891625
2025-03-31,36649.23250516174,22025.396968857018,50736.480464059685
2025-04-30,35838.7548733528,20430.787899337396,50540.8497765491
2025-05-31,29818.115295118983,16279.079557735855,44781.735785524375
2025-06-30,35347.25190907198,20258.923984923644,49713.92578078777
2025-07-31,34859.4703024605,21316.582925890983,49813.24467663786
2025-08-31,35494.46236778239,21221.785479375154,49647.260198033735
2025-09-30,33079.97121997019,18472.49262176698,47636.76843402921
2025-10-31,49640.85466059053,35321.87488946869,63349.17875544857
2025-11-30,54796.95428097495,40039.288418740514,70176.9058600537
2025-12-31,35013.46183199343,20707.13292412816,50442.63738300984
2026-01-31,39767.224693926975,25299.539683764935,54004.29186897568
2026-02-28,39153.798025240256,25115.96648406751,54128.58162333673
2026-03-31,38880.34837538519,24750.562981807183,53473.05745189605
2026-04-30,38177.16943834528,23654.37540196165,53357.06732041074
2026-05-31,32073.459968975807,17872.60169067459,46275.14206717935
2026-06-30,37587.91776601772,23604.353484144303,52390.77854339025
2026-07-31,37136.23768779919,23671.59931633041,51724.57016778209
2026-08-31,37775.890623004925,22626.994772085443,52355.1654256111
2026-09-30,35326.67404671124,21466.61311385211,49203.87367421402
2026-10-31,51726.41270575526,35911.32361950265,65977.86949967673
2026-11-30,57200.275505874684,43078.11521556955,71276.8696848814
2026-12-31,37355.73533077824,23686.49509648639,52841.7716803622
2027-01-31,41975.39362122125,27184.436318996795,55935.08440204167
2027-02-28,41471.608805715594,27351.132894240847,54854.26242902892
2027-03-31,41111.47528616233,27179.074257047905,55162.04145124707
2027-04-30,40514.884287016546,26589.686687551304,54703.0548900201
2027-05-31,34330.05782276312,20013.30206209401,49477.725595078446
2027-06-30,39827.75144939335,26606.18444398415,54987.768056576264
2027-07-31,39413.41960127278,24126.89689767717,53807.38612501075
2027-08-31,40056.67220801912,25521.81466695766,54605.04795329608
2027-09-30,37575.13266186416,23881.263707671,51970.75368054779
2027-10-31,53811.15435743775,39319.28580435827,67950.53654472237
2027-11-30,59601.11239888658,45712.339401887664,75128.62063508487
2027-12-31,39700.60350804922,25794.896340744395,54426.158406775976
2028-01-31,44182.54917445941,29614.064263043474,59608.07417703254
2028-02-29,43600.774182527755,28830.86412192812,59552.5320425848
2028-03-31,43500.28447360274,30020.739169003522,58317.56131409002
2028-04-30,42581.84565825339,29297.281394811307,56292.20018888144
2028-05-31,36646.19609797229,21768.983504018182,50233.272671419836
2028-06-30,42187.93285551702,28625.0503316205,56854.03655541173
2028-07-31,41665.30387345422,27710.136022661245,55497.3222928918
2028-08-31,42294.568639236815,27668.57047957214,57424.135520097465
2028-09-30,39917.22732941875,25321.092219188726,53838.00859729192
