state,total_evs,adoption_rate,growth_rate,avg_monthly,cluster,cluster_name
Andaman & Nicobar Island,4,0.43431053203040176,0.0,0.3333333333333333,2,Early Stage
Andhra Pradesh,4131,3.6965781373040305,80.27857776763547,112.33333333333333,1,High Adopters
Arunachal Pradesh,3,0.08169934640522876,0.0,0.16666666666666666,2,Early Stage
Assam,5509,8.056095813286928,58.733108738106246,110.83333333333333,0,Growing Markets
Bihar,8341,5.297857610152374,64.85065727214672,202.75,1,High Adopters
Chandigarh,521,7.747211895910781,85.94446998908334,7.833333333333333,0,Growing Markets
Chhattisgarh,3485,5.093018837593347,102.39664403997834,122.16666666666667,1,High Adopters
Delhi,6743,9.253338090598454,52.888313623733715,192.08333333333334,0,Growing Markets
Goa,863,10.111306385471588,111.91345391698219,20.5,0,Growing Markets
Gujarat,5396,2.8604749787955894,80.29159807043497,95.33333333333333,1,High Adopters
Haryana,1445,1.5583043060962591,78.85820712906369,30.083333333333332,1,High Adopters
Himachal Pradesh,95,0.5782105903834449,26.43616997405871,1.75,2,Early Stage
Jammu and Kashmir,673,3.1649736644093305,202.1979491238268,12.083333333333334,3,Emerging Markets
Jharkhand,1824,2.6707274218109407,73.66746950548553,49.333333333333336,1,High Adopters
Karnataka,14251,7.529017703837153,56.47974349222127,329.1666666666667,4,EV Leaders
Kerala,6497,6.876587637595258,91.3320899817326,173.16666666666666,0,Growing Markets
Lakshadweep,1,1.0101010101010102,0.0,0.0,2,Early Stage
Madhya Pradesh,8093,4.528464473963987,107.04925710390394,255.83333333333334,1,High Adopters
Maharashtra,17949,5.848542018983568,88.74044997770294,531.1666666666666,4,EV Leaders
Manipur,105,1.6727736179703678,135.9611061770567,3.5,3,Emerging Markets
Meghalaya,67,1.562864473991136,0.0,3.1666666666666665,2,Early Stage
Mizoram,40,1.1577424023154848,0.0,0.5,2,Early Stage
Nagaland,1,0.03403675970047651,0.0,0.0,2,Early Stage
Odisha,4739,5.549505240353651,115.75458904522597,144.0,1,High Adopters
Puducherry,226,3.5197009811555833,98.27321971296281,5.583333333333333,1,High Adopters
Punjab,3204,3.9608856362265272,143.44680724061365,103.0,3,Emerging Markets
Rajasthan,8501,5.003649291331167,76.0479094449603,145.16666666666666,1,High Adopters
Sikkim,1,0.09587727708533077,0.0,0.08333333333333333,2,Early Stage
Tamil Nadu,9751,4.484702982136615,76.18947024105735,274.0833333333333,1,High Adopters
Tripura,616,9.356014580801943,30.394300437381983,10.166666666666666,0,Growing Markets
UT of DNH and DD,9,0.3572846367606193,18.920711500272102,0.0,2,Early Stage
Uttar Pradesh,26091,6.445755451136178,64.34357016618758,678.1666666666666,4,EV Leaders
Uttarakhand,1563,5.000959877135727,59.16166436470629,33.583333333333336,1,High Adopters
West Bengal,3133,2.4550020765258544,75.75184894103919,118.08333333333333,1,High Adopters
